,d,cer
20,20.0,0.45314900153609833
21,21.0,0.4756784434203789
22,22.0,0.5770609318996416
23,23.0,0.4306195596518177
24,24.0,0.5893497183819765
25,25.0,0.4214029697900666
26,26.0,0.2954429083461341
27,27.0,0.540194572452637
28,28.0,0.3727598566308244
29,29.0,0.5002560163850487
30,30.0,0.42242703533026116
31,31.0,0.46543778801843316
32,32.0,0.5396825396825397
33,33.0,0.45570916538658474
34,34.0,0.3983614951356887
35,35.0,0.41372247823860725
36,36.0,0.39580133128520223
37,37.0,0.5335381464413722
38,38.0,0.3466461853558628
39,39.0,0.5263696876600102
40,40.0,0.5017921146953405
41,41.0,0.4720942140296979
42,42.0,0.3671274961597542
43,43.0,0.46953405017921146
44,44.0,0.48847926267281105
45,45.0,0.5673323092677931
46,46.0,0.3676395289298515
47,47.0,0.45878136200716846
48,48.0,0.5033282130056324
49,49.0,0.3937532002048131
50,50.0,0.4767025089605735
51,51.0,0.4014336917562724
52,52.0,0.4121863799283154
53,53.0,0.4976958525345622
54,54.0,0.4173067076292883
55,55.0,0.49257552483358935
56,56.0,0.48591909882232465
57,57.0,0.5519713261648745
58,58.0,0.41935483870967744
59,59.0,0.3768561187916027
60,60.0,0.45212493599590375
61,61.0,0.49974398361495137
62,62.0,0.34715821812596004
63,63.0,0.43266769073220684
64,64.0,0.32462877624167946
65,65.0,0.3712237583205325
66,66.0,0.3860727086533538
67,67.0,0.42242703533026116
68,68.0,0.5975422427035331
69,69.0,0.37019969278033793
70,70.0,0.39477726574500765
71,71.0,0.46134152585765487
72,72.0,0.49001536098310294
73,73.0,0.3998975934459805
74,74.0,0.47516641065028165
75,75.0,0.43420378904249873
76,76.0,0.4956477214541731
77,77.0,0.49615975422427033
78,78.0,0.4065540194572453
79,79.0,0.5596518177163339
80,80.0,0.3860727086533538
81,81.0,0.3830005120327701
82,82.0,0.5186891961085509
83,83.0,0.4941116231438812
84,84.0,0.409626216077829
85,85.0,0.5519713261648745
86,86.0,0.5791090629800307
87,87.0,0.44495647721454173
88,88.0,0.43266769073220684
89,89.0,0.4106502816180235
90,90.0,0.4173067076292883
91,91.0,0.3742959549411162
92,92.0,0.441884280593958
93,93.0,0.4807987711213518
94,94.0,0.3568868407578085
95,95.0,0.3348694316436252
96,96.0,0.3384536610343062
97,97.0,0.4551971326164875
98,98.0,0.40040962621607784
99,99.0,0.4352278545826933
100,100.0,0.38453661034306197
101,101.0,0.4495647721454173
102,102.0,0.3983614951356887
103,103.0,0.42345110087045573
104,104.0,0.3548387096774194
105,105.0,0.32206861239119305
106,106.0,0.33640552995391704
107,107.0,0.4254992319508449
108,108.0,0.4982078853046595
109,109.0,0.37480798771121354
110,110.0,0.2339989759344598
111,111.0,0.41525857654889914
112,112.0,0.3655913978494624
113,113.0,0.41833077316948286
114,114.0,0.4838709677419355
115,115.0,0.427547363031234
116,116.0,0.416794674859191
117,117.0,0.48591909882232465
118,118.0,0.5135688684075781
119,119.0,0.47414234511008707
120,120.0,0.5161290322580645
121,121.0,0.402457757296467
122,122.0,0.3968253968253968
123,123.0,0.5130568356374808
124,124.0,0.4377880184331797
125,125.0,0.4915514592933948
126,126.0,0.4039938556067588
127,127.0,0.38504864311315923
128,128.0,0.42191500256016384
129,129.0,0.4915514592933948
130,130.0,0.4807987711213518
131,131.0,0.5125448028673835
132,132.0,0.5483870967741935
133,133.0,0.49513568868407576
134,134.0,0.4495647721454173
135,135.0,0.4173067076292883
136,136.0,0.391705069124424
137,137.0,0.3891449052739375
138,138.0,0.4091141833077317
139,139.0,0.3573988735279058
140,140.0,0.42345110087045573
141,141.0,0.3046594982078853
142,142.0,0.4567332309267793
143,143.0,0.4039938556067588
144,144.0,0.5253456221198156
145,145.0,0.441884280593958
146,146.0,0.5780849974398361
147,147.0,0.4388120839733743
148,148.0,0.42345110087045573
149,149.0,0.3998975934459805
150,150.0,0.4495647721454173
